Year,Winner,Score,Loser,Goals
1958,Brazil ,2–0, Soviet Union," Vavá  3', 77'    "
1958,Soviet Union ,1–0, England, Ilyin  69'    
1958,Brazil ,1–0, Wales, Pelé  66'    
1958,France ,4–0, Northern Ireland," Wisnieski  44'Fontaine  55', 63'Piantoni  68'    "
1958,Sweden ,2–0, Soviet Union, Hamrin  49'Simonsson  88'    
1958,West Germany ,1–0, Yugoslavia, Rahn  12'    
1958,Brazil ,5–2, France," Vavá  2'Didi  39'Pelé  52', 64', 75'   Fontaine  9'Piantoni  83' "
1958,Sweden ,3–1, West Germany, Skoglund  32'Gren  81'Hamrin  88'   Schäfer  24' 
1958,France ,6–3, West Germany," Fontaine  16', 36', 78', 89'Kopa  27' (pen.)Douis  50'   Cieslarczyk  18'Rahn  52'Schäfer  84' "
1958,Brazil ,5–2, Sweden," Vavá  9', 32'Pelé  55', 90'Zagallo  68'   Liedholm  4'Simonsson  80' "
1962,Uruguay ,2–1, Colombia, Cubilla  56'Sasía  75'   Zuluaga  19' (pen.) 
1962,Soviet Union ,2–0, Yugoslavia, Ivanov  51'Ponedelnik  83'    
1962,Yugoslavia ,3–1, Uruguay, Skoblar  25' (pen.)Galić  29'Jerković  49'   Cabrera  19' 
1962,Soviet Union ,4–4, Colombia," Ivanov  8', 11'Chislenko  10'Ponedelnik  56'   Aceros  21'Coll  68'Rada  72'Klinger  86' "
1962,Soviet Union ,2–1, Uruguay, Mamykin  38'Ivanov  89'   Sasía  54' 
1962,Yugoslavia ,5–0, Colombia," Galić  20', 61'Jerković  25', 87'Melić  82'    "
1962,Chile ,3–1, Switzerland," L. Sánchez  44', 55'Ramírez  51'   Wüthrich  6' "
1962,West Germany ,0–0, Italy,     
1962,Chile ,2–0, Italy, Ramírez  73'Toro  87'    
1962,West Germany ,2–1, Switzerland, Brülls  45'Seeler  59'   Schneiter  73' 
1962,West Germany ,2–0, Chile, Szymaniak  21' (pen.)Seeler  82'    
1962,Italy ,3–0, Switzerland," Mora  2'Bulgarelli  65', 67'    "
1962,Brazil ,2–0, Mexico, Zagallo  56'Pelé  73'    
1962,Czechoslovakia ,1–0, Spain, Štibrányi  80'    
1962,Brazil ,0–0, Czechoslovakia,     
1962,Spain ,1–0, Mexico, Peiró  90'    
1962,Brazil ,2–1, Spain," Amarildo  72', 86'   Adelardo  35' "
1962,Mexico ,3–1, Czechoslovakia, Díaz  12'Del Águila  29'Hernández  90' (pen.)   Mašek  1' 
1962,Argentina ,1–0, Bulgaria, Facundo  4'    
1962,Hungary ,2–1, England, Tichy  17'Albert  71'   Flowers  60' (pen.) 
1962,England ,3–1, Argentina, Flowers  17' (pen.)Charlton  42'Greaves  67'   Sanfilippo  81' 
1962,Hungary ,6–1, Bulgaria," Albert  1', 6', 53'Tichy  8', 70'Solymosi  12'   Sokolov  64' "
1962,Hungary ,0–0, Argentina,     
1962,England ,0–0, Bulgaria,     
1962,Chile ,2–1, Soviet Union, L. Sánchez  11'Rojas  29'   Chislenko  26' 
1962,Czechoslovakia ,1–0, Hungary, Scherer  13'    
1962,Brazil ,3–1, England," Garrincha  31', 59'Vavá  53'   Hitchens  38' "
1962,Yugoslavia ,1–0, West Germany, Radaković  85'    
1962,Czechoslovakia ,3–1, Yugoslavia," Kadraba  48'Scherer  80', 84' (pen.)   Jerković  69' "
1962,Brazil ,4–2, Chile," Garrincha  9', 32'Vavá  47', 78'   Toro  42'L. Sánchez  61' (pen.) "
1962,Chile ,1–0, Yugoslavia, Rojas  90'    
1962,Brazil ,3–1, Czechoslovakia, Amarildo  17'Zito  69'Vavá  78'   Masopust  15' 
1966,England ,0–0, Uruguay,     
1966,France ,1–1, Mexico, Hausser  62'   Borja  48' 
1966,Uruguay ,2–1, France, Rocha  26'Cortés  31'   De Bourgoing  15' (pen.) 
1966,England ,2–0, Mexico, B. Charlton  37'Hunt  75'    
1966,Mexico ,0–0, Uruguay,     
1966,England ,2–0, France," Hunt  38', 75'    "
1966,West Germany ,5–0, Switzerland," Held  16'Haller  21', 77' (pen.)Beckenbauer  40', 52'    "
1966,Argentina ,2–1, Spain," Artime  65', 79'   Pirri  71' "
1966,Spain ,2–1, Switzerland, Sanchís  57'Amancio  75'   Quentin  31' 
1966,Argentina ,0–0, West Germany,     
1966,Argentina ,2–0, Switzerland, Artime  52'Onega  79'    
1966,West Germany ,2–1, Spain, Emmerich  39'Seeler  84'   Fusté  23' 
1966,Brazil ,2–0, Bulgaria, Pelé  15'Garrincha  63'    
1966,Portugal ,3–1, Hungary," José Augusto  2', 67'Torres  90'   Bene  60' "
