Year,Winner,Score,Loser,Goals
2022,France ,3–1, Poland,"  Giroud  44' Mbappé  74', 90+1'    Lewandowski  90+9' (pen.) "
2022,England ,3–0, Senegal,  Henderson  38' Kane  45+3' Saka  57'    
2022,Japan ,1–1 (a.e.t.), Croatia,  Maeda  43'    Perišić  55' 
2022,Brazil ,4–1, South Korea,  Vinícius  7' Neymar  13' (pen.) Richarlison  29' Paquetá  36'    Paik Seung-ho  76' 
2022,Morocco ,0–0 (a.e.t.), Spain,     
2022,Portugal ,6–1, Switzerland,"  Ramos  17', 51', 67' Pepe  33' Guerreiro  55' Leão  90+2'    Akanji  58' "
2022,Croatia ,1–1 (a.e.t.), Brazil,  Petković  117'    Neymar  105+1' 
2022,Netherlands ,2–2 (a.e.t.), Argentina,"  Weghorst  83', 90+11'    Molina  35' Messi  73' (pen.) "
2022,Morocco ,1–0, Portugal,  En-Nesyri  42'    
2022,England ,1–2, France,  Kane  54' (pen.)    Tchouaméni  17' Giroud  78' 
2022,Argentina ,3–0, Croatia,"  Messi  34' (pen.) Álvarez  39', 69'    "
2022,France ,Match 62, Morocco,     
2022,Croatia ,Match 63,Losers Match 62,     
2022,Argentina ,Match 64,Winners Match 62,     
